AFRM
RIOT
LABU
SPY
COIN
SHOP
SQ
TSLA
PLUG
NVDA
DKNG
SWN
PLTR
AMD
CCL
NFLX
AAPL
MSFT
AMZN
ON
TLRY
AMC
