Symbol,TimeStamp,Close,Open,High,Low,ema9,ema21,ema50,ema200,vwap,ATR,K_slow,D_slow,ST_Lowerband,ST_Upperband,Position,Value,OrderType
TSLA,12-30-2022 11:36:00 AM,121.44,121.82,121.83,121.37,121.44,121.44,121.44,121.44,121.44,,,,,,0,0.0,
TSLA,12-30-2022 11:38:00 AM,121.6,121.44,121.77,121.4,121.47200000000001,121.45454545454544,121.44627450980391,121.441592039801,121.51311219035674,,,,,,0,0.0,
TSLA,12-30-2022 11:40:00 AM,121.54,121.62,121.74,121.5,121.48560000000002,121.46231404958675,121.44995001922337,121.44257122348456,121.521136322557,,,,,,0,0.0,
TSLA,12-30-2022 11:42:00 AM,121.29,121.54,121.58,121.22,121.44648000000004,121.44664913598795,121.4436774694499,121.44105310185786,121.46880805061787,,,,,,0,0.0,
TSLA,12-30-2022 11:44:00 AM,121.22,121.32,121.6,121.19,121.40118400000003,121.42604466907996,121.43490580398127,121.43885356850605,121.42401799154167,,,,,,0,0.0,
TSLA,12-30-2022 11:46:00 AM,121.03,121.22,121.27,120.99,121.32694720000003,121.3900406082545,121.41902714500162,121.43478537379455,121.34774239540674,,,,,,0,0.0,
TSLA,12-30-2022 11:48:00 AM,121.09,121.02,121.37,120.99,121.27955776000003,121.36276418932228,121.40612411970744,121.4313546735578,121.30898593189755,,,,,,0,0.0,
TSLA,12-30-2022 11:50:00 AM,121.19,121.1,121.22,121.06,121.26164620800003,121.34705835392934,121.39764866403264,121.42895313451744,121.29775799284945,,,,,,0,0.0,
TSLA,12-30-2022 11:52:00 AM,121.0,121.2,121.21,121.0,121.20931696640004,121.31550759448122,121.38205459877646,121.42468494412424,121.27551908483842,,,,,,0,0.0,
TSLA,12-30-2022 11:54:00 AM,120.98,121.0,121.11,120.81,121.16345357312004,121.28500690407384,121.36628775176563,121.42026021831205,121.23417720588236,,,,120.65076406230891,,0,0.0,
TSLA,12-30-2022 11:56:00 AM,121.27,120.98,121.48,120.85,121.18476285849604,121.28364264006713,121.3625117615003,121.41876509176168,121.23836332995684,,,,120.7980980822962,,0,0.0,
TSLA,12-30-2022 11:58:00 AM,121.43,121.27,121.93,121.27,121.23381028679684,121.29694785460649,121.36515835908853,121.41887688189341,121.26651048578455,,,,121.08365166779753,,0,0.0,
TSLA,12-30-2022 12:00:00 PM,121.6,121.43,121.73,121.42,121.30704822943747,121.32449804964224,121.3743678352027,121.42067910197407,121.2914122189092,,,,121.08365166779753,,0,0.0,
TSLA,12-30-2022 12:02:00 PM,121.59,121.6,121.76,121.52,121.36363858354999,121.34863459058386,121.3828239985281,121.42236388702906,121.3096229207531,0.3578571428571432,,,121.16681073503555,,0,0.0,
TSLA,12-30-2022 12:04:00 PM,121.85,121.59,122.27,121.46,121.46091086684,121.39421326416713,121.40114462603681,121.42661897273027,121.36404164518639,0.38285714285714384,,,121.39472411158881,,0,0.0,
TSLA,12-30-2022 12:06:00 PM,121.48,121.84,121.9,121.28,121.46472869347201,121.40201205833375,121.40423699364321,121.42715012723048,121.37300133395136,0.4007142857142877,,,121.39472411158881,,0,0.0,
TSLA,12-30-2022 12:08:00 PM,121.32,121.47,121.58,121.18,121.43578295477761,121.39455641666704,121.40093358212779,121.42608395681029,121.36981505009663,0.41214285714285886,,,,121.89512073709126,0,0.0,
TSLA,12-30-2022 12:10:00 PM,121.44,121.33,121.52,121.28,121.43662636382209,121.3986876515155,121.40246559851494,121.42622242490172,121.37208157272407,0.40357142857142997,,,,121.85634677289234,0,0.0,
TSLA,12-30-2022 12:12:00 PM,121.47,121.42,121.57,121.33,121.44330109105768,121.40517059228682,121.40511400641631,121.4266580226639,121.3755978162078,0.39142857142857274,,,,121.85634677289234,0,0.0,
TSLA,12-30-2022 12:14:00 PM,121.63,121.48,121.87,121.46,121.48064087284615,121.42560962935165,121.41393306498821,121.42868132592098,121.38869343856285,0.4007142857142877,,,,121.85634677289234,0,0.0,
TSLA,12-30-2022 12:16:00 PM,121.88,121.63,122.02,121.54,121.56051269827694,121.46691784486514,121.43221019969457,121.43317205899639,121.41214296348518,0.4078571428571434,,,,121.85634677289234,0,0.0,
TSLA,12-30-2022 12:18:00 PM,121.89,121.88,121.95,121.78,121.62641015862155,121.5053798589683,121.45016274088302,121.43771761064818,121.42577248706338,0.40857142857142953,,,121.37746748370338,,0,0.0,
TSLA,12-30-2022 12:20:00 PM,121.96,121.88,122.09,121.72,121.69312812689725,121.54670896269846,121.4701563588876,121.44291445034322,121.44557971703736,0.4200000000000017,75.34246575342459,,121.48875536348511,,0,0.0,
TSLA,12-30-2022 12:22:00 PM,122.02,121.95,122.2,121.82,121.7585025015178,121.58973542063497,121.4917188546175,121.44865659511593,121.47204437321999,0.4257142857142883,78.53881278538809,,121.59769399800263,,0,0.0,
TSLA,12-30-2022 12:24:00 PM,121.98,122.01,122.08,121.91,121.80280200121425,121.62521401875907,121.51086713482859,121.45394359416952,121.48698119838768,0.3928571428571449,80.59360730593612,,121.60879864560036,,0,0.0,
TSLA,12-30-2022 12:26:00 PM,121.75,121.96,122.02,121.54,121.79224160097141,121.63655819887187,121.52024489424709,121.4568894290534,121.49719843497053,0.3800000000000005,75.79908675799105,,121.60879864560036,,0,0.0,
TSLA,12-30-2022 12:28:00 PM,121.68,121.76,121.8,121.56,121.76979328077714,121.64050745351987,121.52650980035504,121.45910943473447,121.50193385732317,0.375,68.03652968036569,,121.60879864560036,,0,0.0,
TSLA,12-30-2022 12:30:00 PM,121.94,121.69,121.99,121.68,121.80383462462171,121.66773404865444,121.5427251023019,121.4638944154834,121.51427086415129,0.3799999999999985,67.12328767123311,,121.60879864560036,,0,0.0,
TSLA,12-30-2022 12:32:00 PM,121.77,121.95,122.16,121.77,121.79706769969738,121.6770309533222,121.55163784338811,121.46694024219501,121.52300955363776,0.34999999999999837,67.57990867579923,,121.60879864560036,,0,0.0,
TSLA,12-30-2022 12:34:00 PM,121.86,121.78,121.98,121.71,121.80965415975791,121.69366450302017,121.56373047698074,121.47085128456123,121.53110316727695,0.3249999999999988,71.68949771689496,,121.60879864560036,,0,0.0,
TSLA,12-30-2022 12:36:00 PM,121.86,121.85,122.03,121.69,121.81972332780633,121.70878591183651,121.57534888964817,121.47472341108302,121.53801943858764,0.32071428571428534,69.59933114669762,,121.60879864560036,,0,0.0,
TSLA,12-30-2022 12:38:00 PM,121.75,121.87,121.98,121.75,121.80577866224507,121.71253264712409,121.58219795279923,121.47746248161951,121.54340522535996,0.3200000000000003,65.11271558807,71.94152430818005,121.60879864560036,,0,0.0,
TSLA,12-30-2022 12:40:00 PM,121.75,121.75,121.81,121.63,121.79462292979608,121.7159387701128,121.58877842523849,121.48017429772281,121.54843999825924,0.31571428571428684,58.57130550889436,70.26440828372702,121.60879864560036,,5,608.75,SELLSHORTSTOCK
TSLA,12-30-2022 12:42:00 PM,121.54,121.76,121.76,121.5,121.74369834383687,121.69994433646617,121.58686554581737,121.48076957834249,121.54823730760579,0.3050000000000007,45.871559633027545,66.99768296849098,121.60879864560036,,0,0.0,
TSLA,12-30-2022 12:44:00 PM,121.72,121.53,121.77,121.5,121.73895867506951,121.70176757860561,121.59208650480494,121.48314998054805,121.55114782063391,0.2900000000000012,44.95412844036695,63.43373508193406,121.60879864560036,,0,0.0,
TSLA,12-30-2022 12:46:00 PM,121.89,121.73,122.05,121.7,121.76916694005561,121.71887961691418,121.60376938696946,121.48719823944808,121.56170765210051,0.3028571428571435,50.72555015890138,60.92638142202509,121.60879864560036,,0,0.0,
TSLA,12-30-2022 12:48:00 PM,121.96,121.87,121.99,121.82,121.8073335520445,121.74079965174016,121.61773921493145,121.49190273457795,121.56934750245784,0.28857142857142903,65.20657192540573,60.64338564652909,121.60879864560036,,0,0.0,
TSLA,12-30-2022 12:50:00 PM,121.86,121.97,122.0,121.74,121.8178668416356,121.75163604703651,121.62723963787532,121.49556539393538,121.57434059522645,0.28000000000000014,69.70730321113899,60.90178720051968,121.60879864560036,,0,0.0,
