index,Symbol,TimeStamp,Close,Open,High,Low,ema9,ema21,ema50,ema200,vwap,ATR,K_slow,D_slow,ST_Lowerband,ST_Upperband,Position,Value,OrderType,P/L
248,SPY,12-30-2022 07:52:00 PM,383.13,383.11,383.16,383.11,383.08732651888533,383.0753742116822,383.0135247529724,381.9696447241502,381.29665846180757,0.07571428571428994,88.42494714587811,81.51260668702798,383.04938445615124,,-5,-1915.65,BUYTOCOVERSTOCK,-12.25
403,SPY,01-03-2023 01:02:00 PM,378.52,378.63,378.69,378.47,378.54151647008393,378.77299410087346,379.31770191102123,381.10785437819186,381.3262896487712,0.3871428571428502,37.442922374429834,22.84627092846348,378.074107892947,,5,1892.6,SELLSHORTSTOCK,0.0
419,SPY,01-03-2023 01:34:00 PM,379.43,379.41,379.5,379.31,379.13004735575663,378.9218869638527,379.1089107427891,380.77110591422326,381.27002859123036,0.3321428571428555,86.490081412682,59.128464380543754,378.9710710451649,,-5,-1897.15,BUYTOCOVERSTOCK,-4.550000000000182
448,SPY,01-03-2023 02:32:00 PM,378.52,379.0,379.07,378.44,379.0337951530663,379.20324065378077,379.24783238635473,380.41372425858043,381.17904921810805,0.3535714285714237,11.443461618041189,26.04469887121085,,379.15962854474714,5,1892.6,SELLSHORTSTOCK,0.0
490,SPY,01-03-2023 03:56:00 PM,380.91,380.88,381.22,380.5,380.7732515157939,380.58521960136096,380.1987848849366,380.35777498439955,381.0806529440448,0.42357142857142094,79.18395210838624,66.74686996269195,380.4204093785649,,-5,-1904.5500000000002,BUYTOCOVERSTOCK,-11.950000000000273
index,Symbol,TimeStamp,Close,Open,High,Low,ema9,ema21,ema50,ema200,vwap,ATR,K_slow,D_slow,ST_Lowerband,ST_Upperband,Position,Value,OrderType,P/L
17,NFLX,12-30-2022 09:20:00 AM,286.75,286.75,286.75,286.75,286.8099579897074,286.7660964432528,286.7296988927003,286.7072674444171,286.74160672329657,0.2671428571428415,,,,287.01029224824043,5,1433.75,SELLSHORTSTOCK,0.0
70,NFLX,12-30-2022 11:06:00 AM,289.64,289.31,289.81,289.11,289.32666304666935,288.5719651930303,287.50802110443556,286.80235527949657,286.36135316881735,0.6271428571428552,76.34619375965701,86.36836745928989,288.9226847544461,,-5,-1448.1999999999998,BUYTOCOVERSTOCK,-14.449999999999818
98,NFLX,12-30-2022 12:02:00 PM,290.88,290.87,291.11,290.75,290.9317300842068,290.63047282430097,289.60376019042656,287.70651684037546,287.44421813977846,0.48714285714285666,69.51672862453556,75.95562641362808,290.5606105743676,,5,1454.4,SELLSHORTSTOCK,0.0
180,NFLX,12-30-2022 02:46:00 PM,291.26,291.04,291.6,291.04,291.0663672728886,290.83980196362194,290.6841115764153,289.4160752450949,288.6020501606894,0.35428571428571687,80.63402385436252,85.70043785993207,290.9346688909665,,-5,-1456.3,BUYTOCOVERSTOCK,-1.8999999999998636
373,NFLX,01-03-2023 11:58:00 AM,291.92,291.94,292.15,291.54,291.67695752401414,291.53209827954163,291.65295638080363,292.5489300700725,291.0081750954633,0.6835714285714241,63.34913112164242,48.46333275883707,291.08531459389013,,5,1459.6000000000001,SELLSHORTSTOCK,0.0
402,NFLX,01-03-2023 12:56:00 PM,292.29,292.0,292.3,291.9,292.46739008903364,292.6499121453913,292.44984654241824,292.62167359861894,291.1037896846474,0.498571428571438,13.648293963255503,45.412810198181134,,292.6962289666599,-5,-1461.45,BUYTOCOVERSTOCK,-1.849999999999909
413,NFLX,01-03-2023 01:18:00 PM,292.85,292.75,292.89,292.67,292.7821979813887,292.7628727393914,292.5853122734184,292.64380768325634,291.1251017151362,0.5171428571428619,40.58369916149915,44.12398671404998,292.3766972503752,,-5,-1464.25,BUYSTOCK,0.0
446,NFLX,01-03-2023 02:24:00 PM,294.83,295.22,295.28,294.75,294.93426684177416,294.6312515929676,293.98278588235576,293.1185859534132,291.2897154323486,0.491428571428563,78.33333333333424,82.39392754717502,294.59228867316955,,5,1474.1499999999999,SELLSTOCK,9.899999999999864
487,NFLX,01-03-2023 03:46:00 PM,295.53,295.73,295.82,295.43,295.89314110548594,295.9885422981027,295.57205384921343,294.03400871359725,291.6828625763418,0.4878571428571417,8.888888888888639,33.5680830781758,,296.2268284537221,5,1477.6499999999999,SELLSHORTSTOCK,0.0
index,Symbol,TimeStamp,Close,Open,High,Low,ema9,ema21,ema50,ema200,vwap,ATR,K_slow,D_slow,ST_Lowerband,ST_Upperband,Position,Value,OrderType,P/L
255,AAPL,01-03-2023 08:06:00 AM,130.75,130.81,130.81,130.75,130.3579854066903,130.1831910834911,130.06900275283488,129.56685165058838,129.0868972383892,0.14285714285714285,69.79166666666741,27.50892857143229,130.41453850405549,,5,653.75,SELLSHORTSTOCK,0.0
262,AAPL,01-03-2023 08:20:00 AM,130.44,130.34,130.5,130.34,130.38568848516118,130.28508025484615,130.14820400806983,129.62277227076612,129.0887646441373,0.2421428571428582,48.12500000000082,49.395833333334124,,130.56514562598835,-5,-652.2,BUYTOCOVERSTOCK,1.5499999999999545
281,AAPL,01-03-2023 08:58:00 AM,130.95,130.9,130.95,130.9,130.8620048018089,130.70726493529168,130.46596833645657,129.81268170371635,129.09526844214187,0.18214285714286,86.89458689458733,83.26151784375475,130.74835146766128,,5,654.75,SELLSHORTSTOCK,0.0
403,AAPL,01-03-2023 01:02:00 PM,124.54,124.6,124.62,124.42,124.58694705599748,124.64907391038827,124.93382416561344,126.98763721339483,127.63235872691618,0.17071428571428576,38.2722799343916,35.53754456756995,,124.7008769438891,-5,-622.7,BUYTOCOVERSTOCK,32.049999999999955
453,AAPL,01-03-2023 02:42:00 PM,124.55,124.3,124.58,124.29,124.43852857644727,124.50817118827823,124.59170369976349,126.02382582008234,127.30315539367508,0.16857142857142549,28.91566265060185,29.14266285331969,,124.4923341765619,-5,-622.75,BUYSTOCK,0.0
index,Symbol,TimeStamp,Close,Open,High,Low,ema9,ema21,ema50,ema200,vwap,ATR,K_slow,D_slow,ST_Lowerband,ST_Upperband,Position,Value,OrderType,P/L
31,TSLA,12-30-2022 12:40:00 PM,121.75,121.75,121.81,121.63,121.79474969485608,121.72351676063197,121.6332567998646,121.59635783382677,121.55243231487553,0.31571428571428684,58.57130550889436,70.26440828372702,121.60953630583795,,5,608.75,SELLSHORTSTOCK,0.0
32,TSLA,12-30-2022 12:42:00 PM,121.54,121.76,121.76,121.5,121.74379975588488,121.70683341875633,121.62959967045815,121.59579705936083,121.55212302820405,0.3050000000000007,45.871559633027545,66.99768296849096,121.60953630583795,,-5,-607.7,BUYTOCOVERSTOCK,1.0499999999999545
47,TSLA,12-30-2022 01:12:00 PM,121.26,121.17,121.43,121.14,121.32163405844301,121.46774939243335,121.54540136623797,121.57863661811987,121.53667155561035,0.259285714285716,13.084112149532404,14.39484028817451,,121.52560092583005,5,606.3000000000001,SELLSHORTSTOCK,0.0
48,TSLA,12-30-2022 01:14:00 PM,121.15,121.24,121.38,121.15,121.28730724675442,121.43886308403032,121.52989543030706,121.57437157714357,121.53155864407687,0.2507142857142871,9.559968847352005,11.969487307301955,,121.52560092583005,-5,-605.75,BUYTOCOVERSTOCK,0.5500000000000682
49,TSLA,12-30-2022 01:16:00 PM,121.13,121.15,121.31,121.08,121.25584579740354,121.41078462184574,121.51421325656953,121.5699499694108,121.52477477780077,0.25500000000000156,9.0974965475159,11.237017531228412,,121.48125413479416,5,605.65,SELLSHORTSTOCK,0.0
50,TSLA,12-30-2022 01:18:00 PM,121.22,121.14,121.28,121.13,121.24867663792284,121.3934405653143,121.5026754818021,121.56646788016295,121.52111957933853,0.24714285714285872,8.612542955326482,11.23374865418978,,121.47756522671519,-5,-606.1,BUYTOCOVERSTOCK,-0.4500000000000455
79,TSLA,12-30-2022 02:16:00 PM,120.99,121.04,121.1,120.94,121.04087112885767,121.13046272933319,121.25856838874667,121.4639111059224,121.39446417779138,0.21571428571428544,11.904761904762312,36.2096044680316,,121.21775064471575,5,604.9499999999999,SELLSHORTSTOCK,0.0
80,TSLA,12-30-2022 02:18:00 PM,120.92,120.99,121.07,120.92,121.01669690308614,121.11132975393926,121.24529119703112,121.45849905511722,121.39050218014741,0.2135714285714272,12.646652864044846,31.678473958640307,,121.21775064471575,-5,-604.6,BUYTOCOVERSTOCK,0.34999999999990905
256,TSLA,01-03-2023 08:10:00 AM,118.0,118.41,118.5,117.98,119.9825747681428,121.44644199811559,122.31423598253298,122.45904758414603,121.81712298637278,0.6964285714285704,24.272770624702,56.96202057360887,,119.34305162492886,5,590.0,SELLSHORTSTOCK,0.0
257,TSLA,01-03-2023 08:12:00 AM,118.15,118.02,118.2,118.0,119.61605981451424,121.14676545283234,122.15093261066895,122.4161714887814,121.81601048849978,0.701428571428571,22.50834525512646,51.37952176578811,,119.16935692093476,-5,-590.75,BUYTOCOVERSTOCK,-0.75
285,TSLA,01-03-2023 09:08:00 AM,118.96,118.72,119.05,118.72,118.73373924124743,118.74212961414884,119.66200753176909,121.43522788168092,121.75067672262483,0.38285714285714484,75.41666666666637,76.37491536744278,118.5244443065996,,-5,-594.8,BUYSTOCK,0.0
286,TSLA,01-03-2023 09:10:00 AM,119.22,118.96,119.37,118.88,118.83099139299796,118.78557237649895,119.64467390307226,121.41318581320648,121.7483201374734,0.3892857142857165,81.96680790960414,78.5142839054387,118.68713950422469,,5,596.1,SELLSTOCK,1.3000000000000682
419,TSLA,01-03-2023 01:36:00 PM,105.74,105.5,105.75,105.45,105.4004663515818,105.3747049511162,106.05032065037165,111.64129634369682,114.07396760784313,0.3421428571428576,78.36257309941497,44.54168363934128,105.22159559322925,,-5,-528.6999999999999,BUYSTOCK,0.0
420,TSLA,01-03-2023 01:38:00 PM,105.81,105.74,106.05,105.64,105.48237308126545,105.41427722828746,106.0408963111414,111.58327349450582,114.03477961618677,0.3478571428571432,85.26191364937172,52.01310092073201,105.39825686847183,,5,529.05,SELLSTOCK,0.35000000000002274
469,TSLA,01-03-2023 03:16:00 PM,108.06,107.72,108.48,107.61,107.92411194040255,107.86676930139826,107.37069460512976,109.91749120850318,112.97365653282753,0.5707142857142884,37.788986316960234,50.38319085308543,,108.17764091127462,-5,-540.3,BUYSTOCK,0.0
470,TSLA,01-03-2023 03:18:00 PM,107.83,108.07,108.22,107.77,107.90528955232205,107.86342663763477,107.38870658139919,109.89672015170216,112.9586688382259,0.5635714285714316,36.45268986633486,47.362549502585026,,108.17764091127462,5,539.15,SELLSTOCK,-1.1499999999999773
